county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10001,1000102,碧華里,F020001982,碧華公園-女廁,新北市三重區碧華里仁華街118巷9號之8,新北市三重區公所,25.08396600,121.48691300,特優級,公園,女廁所,新北市三重區公所經建課,0
63000,6300500,東門里,A050001929,中正運動中心7F無障礙,臺北市中正區東門里信義路一段1號,臺北市政府體育局,25.03836700,121.51930600,特優級,文化育樂活動場所,無障礙廁所,臺北市政府體育局,0
09020,0902003,正義里,W030000134,環保公園無障礙廁所,金門縣金湖鎮正義里尚義,金門縣環境保護局,24.43983041,118.36850058,特優級,公園,無障礙廁所,金門縣環境保護局,0
10008,1000807,瑞田村,M070000094,瑞田社區活動中心1-2F間-女廁,南投縣鹿谷鄉瑞田村仁愛路,縣市政府,23.80486600,120.79291300,特優級,社福機構、集會場所,女廁所,鹿谷鄉公所,0
10017,1001704,光華里,C040000329,朝棟里民活動中心-女廁,基隆市仁愛區光華里成功一路,基隆市政府,25.12847400,121.73599100,不合格,社福機構、集會場所,女廁所,基隆市仁愛區公所,0
10010,1001007,大潭村,Q070000219,新港鄉大潭村岳湖旁-女廁,嘉義縣新港鄉大潭村大潭段精忠小段,嘉義縣新港鄉公所,23.55346534,120.37259728,特優級,其他,女廁所,嘉義縣新港鄉公所,0
10001,1000103,福美里,F030001262,"佳和公園地下停車場 B1-女廁",新北市中和區福美里中山路2段64巷9號B1,新北市政府交通局,25.00490100,121.50320300,特優級,交通,女廁所,俥亭停車事業股份有限公司,0
10021,1001118,武安里,D180000244,新化體育公園操場旁性別友善廁,臺南市新化區武安里公園路１１０號,新化區公所,23.02975500,120.30661800,特優級,公園,性別友善廁所,新化區公所,0
10021,1002108,南門里,D370000958,中西區南門里活動中心女廁,臺南市中西區南門里南寧街47號,中西區公所,22.98490000,120.20032700,特優級,社福機構、集會場所,女廁所,中西區公所,0
10021,1002104,北門里,D340000435,實踐社區活動中心男廁,臺南市北　區北門里大武街１６１號,北區區公所,23.01340800,120.21577100,特優級,社福機構、集會場所,男廁所,北區區公所,0
10003,1000303,福仁里,H030000310,大溪區衛生所3F男廁,桃園市大溪區福仁里仁愛路1號,大溪區衛生所,24.88448800,121.28547800,特優級,民眾洽公場所,男廁所,大溪區衛生所,0
10003,1000313,澤仁里,H130000102,復興區衛生所4F女廁,桃園市復興區澤仁村中正路25號,桃園市復興區衛生所,24.81507100,121.35098200,特優級,民眾洽公場所,女廁所,桃園市復興區衛生所,0
10017,1001702,堵南里,C020000291,公車處堵南分站-混和廁所,基隆市七堵區堵南里堵南街51-9號,基隆市政府,25.08223303,121.68365119,不合格,交通,混合廁所,基隆市公共汽車管理處,0
10021,1001106,聖賢里,D060000074,東山區田尾社區活動中心混合廁,臺南市東山區聖賢里田尾２７之２號,東山區公所,23.30536100,120.36179400,特優級,社福機構、集會場所,混合廁所,東山區公所,0
10021,1001106,南溪里,D060000072,東山區南溪里活動中心混合廁,臺南市東山區南溪里二重溪１４號之１１,東山區公所,23.27452700,120.39895500,特優級,社福機構、集會場所,混合廁所,東山區公所,0
10001,1000105,南港里,F050001182,四維公園-性別友善廁所,新北市新莊區南港里四維路186巷2號,新北市新莊區公所,25.02117000,121.42182500,不合格,公園,性別友善廁所,新北市新莊區公所,0
10021,1002108,南門里,D370000959,中西區南門里活動中心男廁,臺南市中西區南門里南寧街47號,中西區區公所,22.98490000,120.20032700,特優級,社福機構、集會場所,男廁所,中西區公所,0
10003,1000303,福仁里,H030000307,大溪區衛生所1F無障礙廁所,桃園市大溪區福仁里仁愛路1號,大溪區衛生所,24.88448800,121.28547800,特優級,民眾洽公場所,無障礙廁所,大溪區衛生所,0
10003,1000313,澤仁里,H130000099,復興區衛生所3F性別友善廁所,桃園市復興區澤仁村中正路25號,桃園市復興區衛生所,24.81507100,121.35098200,特優級,民眾洽公場所,性別友善廁所,桃園市復興區衛生所,0
10013,1001301,維新里,T010000755,屏東西市場一樓女廁,屏東縣屏東市維新里和平路320號,屏東縣政府工商科,22.67221400,120.47845000,特優級,商業營業場所,女廁所,屏東縣政府工商科,0
10013,1001301,維新里,T010000753,屏東西市場停車場女廁,屏東縣屏東市維新里和平路320號,屏東縣政府工商科,22.67221400,120.47845000,特優級,商業營業場所,女廁所,屏東縣政府工商科,0
10016,1001601,五德里,X010000562,五德自行園區男廁,澎湖縣馬公市五德里雞母塢41-11號,交通部,23.52672800,119.59171800,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處,0
10008,1000807,瑞田村,M070000095,瑞田社區活動中心2F-無障礙廁所,南投縣鹿谷鄉瑞田村仁愛路,縣市政府,23.80486600,120.79291300,特優級,社福機構、集會場所,無障礙廁所,鹿谷鄉公所,0
10004,1000402,仁愛里,J020000264,竹東鎮竹東生態公園-性別友善廁所(264),新竹縣竹東鎮仁愛里竹東堤防前,經濟部水利署第二河川分署,24.74145273,121.09337389,特優級,公園,性別友善廁所,新竹縣政府環境保護局,1
10021,1002101,大學里,D320000858,大學東寧社區聯合活動中心2F女廁,臺南市東　區大學里林森路二段252號,東區區公所,22.99204500,120.22425600,特優級,社福機構、集會場所,女廁所,東區區公所,0
10001,1000101,挹秀里,F010002823,府後立體停車場-女廁,新北市板橋區挹秀里府中路32號,新北市政府交通局,25.00986400,121.45845600,特優級,交通,女廁所,日月亭股份有限公司,0
10001,1000109,溪南里,F090000743,中油宏福加油站-無障礙廁,新北市三峽區溪南里介壽路一段五五○號,其他,24.93466400,121.38916700,特優級,商業營業場所,無障礙廁所,台灣中油股份有限公司宏福加油站,0
10001,1000103,福美里,F030001263,"佳和公園地下停車場 B1-無障礙廁所",新北市中和區福美里中山路2段64巷9號B1,新北市政府交通局,25.00490100,121.50320300,特優級,交通,無障礙廁所,俥亭停車事業股份有限公司,0
10003,1000303,福仁里,H030000309,大溪區衛生所2F女廁,桃園市大溪區福仁里仁愛路1號,大溪區衛生所,24.88448800,121.28547800,特優級,民眾洽公場所,女廁所,大溪區衛生所,0
10003,1000313,澤仁里,H130000098,復興區衛生所2F親子廁所,桃園市復興區澤仁村中正路25號,桃園市復興區衛生所,24.81507100,121.35098200,特優級,民眾洽公場所,親子廁所,桃園市復興區衛生所,1
10001,1000102,碧華里,F020001983,碧華公園-性別友善1,新北市三重區碧華里仁華街118巷9號之8,新北市三重區公所,25.08396600,121.48691300,特優級,公園,性別友善廁所,新北市三重區公所經建課,0
10016,1001601,五德里,X010000564,五德自行園區無障礙廁,澎湖縣馬公市五德里雞母塢41-11號,交通部,23.52674000,119.59178000,特優級,觀光地區及風景區,無障礙廁所,澎湖國家風景區管理處,0
10016,1001601,五德里,X010000563,五德自行園區女廁,澎湖縣馬公市五德里雞母塢41-11號,交通部,23.52672000,119.59171000,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處,0
10001,1000101,五權里,F010002825,五權公園地下公有停車場-親子廁,新北市板橋區五權里廣權路130號地下一樓,新北市政府交通局,24.99299200,121.46564400,特優級,交通,親子廁所,日月亭股份有限公司,0
10001,1000101,五權里,F010002824,五權公園地下公有停車場-無障礙廁,新北市板橋區五權里廣權路130號地下一樓,新北市政府交通局,24.99299200,121.46564400,特優級,交通,無障礙廁所,日月亭股份有限公司,0
10017,1001706,四維里,C060000447,公車處建德分站-混和廁所,基隆市安樂區四維里安和一街121巷2號,基隆市政府,25.12550120,121.72324543,不合格,交通,混合廁所,基隆市公共汽車管理處,0
10004,1000402,仁愛里,J020000265,竹東鎮竹東生態公園-性別友善廁所(265),新竹縣竹東鎮仁愛里竹東堤防前,經濟部水利署第二河川分署,24.74146248,121.09329879,特優級,公園,性別友善廁所,新竹縣政府環境保護局,1
10021,1002101,大學里,D320000857,大學東寧社區聯合活動中心2F男廁,臺南市東　區大學里林森路二段252號,東區區公所,22.99204500,120.22425600,特優級,社福機構、集會場所,男廁所,東區區公所,0
10021,1002101,大學里,D320000855,大學東寧社區聯合活動中心1F男廁,臺南市東　區大學里林森路二段252號,東區區公所,22.99204500,120.22425600,特優級,社福機構、集會場所,男廁所,東區區公所,0
10005,1000513,龍騰村,K130000119,龍騰斷橋-性別友善廁,苗栗縣三義鄉龍騰村9之5號,三義鄉鄉公所,24.35799200,120.77269100,特優級,觀光地區及風景區,男廁所,三義鄉鄉公所,1
